help.desc.alias._alias_edit	Starts a wizard and creates an alias with description, then reloads.
help.desc.alias._alias_test_reload	Checks automatically whether alias categories stay consistent after reload.
help.cmd.alias.log	journalctl -n <X> --no-pager  (default: X=50)
help.cmd.alias.logs	journalctl -u <service> -n <X> --no-pager  (default: X=50)
help.cmd.alias.log_min	journalctl --since \"<X> minutes ago\" --no-pager  (default: X=10)
help.cmd.alias.log_hour	journalctl --since \"<X> hours ago\" --no-pager  (default: X=1)
help.cmd.alias.log_clean	journalctl --vacuum-time=<days>d --vacuum-size=<size>  (default: 2d, 100M)
help.cmd.alias.aua	apt update && apt upgrade [-y] && apt autoremove [-y]
help.cmd.alias._alias_update	git pull --ff-only && alias_repo_reload  (default mode)
help.cmd.alias._alias_reload	alias_repo_reload  (reload alias loader in current shell)
help.cmd.alias._alias_init	bash \"$BASH_ALIAS_REPO_DIR/scripts/alias_self_setup.sh\" --init
help.cmd.alias._alias_setup	bash \"$BASH_ALIAS_REPO_DIR/scripts/alias_guided_setup.sh\"
help.cmd.alias._alias_setup_scheme	bash \"$BASH_ALIAS_REPO_DIR/scripts/alias_color_scheme_setup.sh\" [dark|bright]
help.cmd.alias._alias_init_remove	bash \"$BASH_ALIAS_REPO_DIR/scripts/alias_self_setup.sh\" --remove
help.cmd.alias._alias_category_setup	bash \"$BASH_ALIAS_REPO_DIR/scripts/alias_category_setup.sh\"
help.cmd.alias._alias_test_reload	bash \"$BASH_ALIAS_REPO_DIR/scripts/test_reload_category_mapping.sh\"
help.cmd.alias._alias_edit	alias_self_edit  (alias wizard with target-file selection and reload)
